#,Source,Pair,Volume (24h),Price,Volume (%),Updated
119,Binance,OMG/BTC,1472820,4343.2500,0.13%,Recently
120,Binance,IOTA/BTC,1469480,4280.8900,0.13%,Recently
121,Binance,SALT/BTC,1469400,4248.5500,0.13%,Recently
122,Paribu,BTC/TRY,1453770,4291.4600,0.13%,Recently
123,Bittrex,GAME/BTC,1444950,4314.9800,0.13%,Recently
124,Bitfinex,NEO/BTC,1385030,4342.2500,0.12%,Recently
125,Poloniex,GAME/BTC,1380480,4314.9800,0.12%,Recently
126,C-CEX,MCAP/BTC,1339210,4217.4100,0.12%,Recently
127,Bittrex,WAVES/BTC,1329450,4309.1500,0.12%,Recently
128,Poloniex,LSK/BTC,1327720,4359.6700,0.12%,Recently
129,Poloniex,ETC/BTC,1316790,4311.3800,0.12%,Recently
130,Bittrex,MTL/BTC,1316770,4330.1200,0.12%,Recently
131,Binance,KNC/BTC,1307700,4247.3700,0.12%,Recently
132,BX Thailand,BTC/THB,1304180,4316.7500,0.12%,Recently
133,Livecoin,DASH/BTC,1301720,4461.2600,0.12%,Recently
134,QuadrigaCX,BTC/CAD,1298130,4383.7700,0.12%,Recently
135,Liqui,BTC/USDT,1294140,4314.5700,0.11%,Recently
136,Bittrex,CVC/BTC,1244970,4329.4800,0.11%,Recently
137,Bittrex,XVG/BTC,1232990,4321.9300,0.11%,Recently
138,Mercado Bitcoin,BTC/BRL,1224180,4590.9300,0.11%,Recently
139,Bitfinex,OMG/BTC,1220480,4318.3500,0.11%,Recently
140,Bittrex,VIA/BTC,1189660,4322.9000,0.11%,Recently
141,Poloniex,GAS/BTC,1183160,4335.5600,0.10%,Recently
142,LakeBTC,BTC/GBP,1174770,4555.8000,0.10%,Recently
143,Poloniex,XEM/BTC,1168970,4461.6800,0.10%,Recently
144,Bittrex,APX/BTC,1165210,4319.0400,0.10%,Recently
145,Bittrex,SYS/BTC,1153930,4313.2300,0.10%,Recently
146,Bittrex,SC/BTC,1145810,4305.9400,0.10%,Recently
147,Poloniex,STR/BTC,1118690,4448.7500,0.10%,Recently
148,USD X,BTC/USD,1106970,4294.1100,0.10%,Recently
149,Bitso,BTC/MXN,1102160,4326.8700,0.10%,Recently
150,Bittrex,XEM/BTC,1095760,4456.4900,0.10%,Recently
151,Gemini,ETH/BTC,1081040,4326.5900,0.10%,Recently
152,LakeBTC,BTC/EUR,1080960,4456.1000,0.10%,Recently
153,Bitonic,BTC/EUR,1075470,4318.5400,0.10%,Recently
154,Bittrex,FUN/BTC,1053480,4324.4000,0.09%,Recently
155,Binance,STRAT/BTC,1045510,4287.0800,0.09%,Recently
156,Bit-Z,LSK/BTC,1033140,4345.8600,0.09%,Recently
157,Liqui,SNM/BTC,1028110,4292.5300,0.09%,Recently
158,Bitstamp,ETH/BTC,1024630,4319.0000,0.09%,Recently
159,Bittrex,MCO/BTC,1023390,4329.0300,0.09%,Recently
160,Bittrex,VTC/BTC,1021450,4262.4000,0.09%,Recently
161,Bitfinex,ZEC/BTC,1010920,4307.3300,0.09%,Recently
162,Tidex,LTC/BTC,1010780,4305.5000,0.09%,Recently
163,Bittrex,SPR/BTC,994238,4477.5100,0.09%,Recently
164,BL3P,BTC/EUR,979322,4328.2600,0.09%,Recently
165,BitMarket,BTC/PLN,978308,4294.9400,0.09%,Recently
166,Bittrex,PTOY/BTC,945060,4266.2800,0.08%,Recently
167,Bittrex,DAR/BTC,937996,4255.4000,0.08%,Recently
168,Bittrex,TRIG/BTC,926830,4321.1500,0.08%,Recently
169,BTC-Alpha,BTC/USD,925834,4305.5000,0.08%,Recently
170,HitBTC,NXT/BTC,908558,4312.4600,0.08%,Recently
171,Kraken,LTC/BTC,888787,4322.1000,0.08%,Recently
172,Bit-Z,ZEC/BTC,882195,4301.4200,0.08%,Recently
173,Bitfinex,XRP/BTC,879784,4315.2700,0.08%,Recently
174,Bittrex,MUE/BTC,864781,4358.4300,0.08%,Recently
175,Binance,GAS/BTC,858635,4226.2700,0.08%,Recently
176,Exmo,BTC/USD,851832,4305.5800,0.08%,Recently
177,Bittrex,1ST/BTC,833611,4334.4900,0.07%,Recently
178,GDAX,BTC/GBP,827689,4385.5500,0.07%,Recently
179,Bittrex,ERC/BTC,826129,4368.7900,0.07%,Recently
180,Bittrex,EDG/BTC,815710,4369.2700,0.07%,Recently
181,Bittrex,ETC/BTC,815350,4312.9700,0.07%,Recently
182,Luno,BTC/MYR,812270,4322.7600,0.07%,Recently
183,Bittrex,KMD/BTC,811562,4297.2600,0.07%,Recently
184,Bit-Z,ETC/BTC,804994,4332.9200,0.07%,Recently
185,Livecoin,XMR/BTC,804763,4302.0200,0.07%,Recently
186,Bittrex,NXS/BTC,791178,4284.5000,0.07%,Recently
187,Liqui,ETH/BTC,785389,4308.5900,0.07%,Recently
188,Bittrex,OK/BTC,756202,4298.6900,0.07%,Recently
189,Bittrex,TKN/BTC,750314,4332.5000,0.07%,Recently
190,Poloniex,SC/BTC,742712,4343.3800,0.07%,Recently
191,Exmo,ETH/BTC,742661,4348.5200,0.07%,Recently
192,HitBTC,MAID/BTC,720569,4316.0700,0.06%,Recently
193,Coinroom,BTC/PLN,718445,4402.4500,0.06%,Recently
194,Bittrex,STEEM/BTC,717611,4325.9400,0.06%,Recently
195,xBTCe,BTC/USD,709420,4300.3000,0.06%,Recently
