Source,No_of_traded_pair
Yuanbao,1
OKCoin.cn,1
BitcoinToYou,1
BTCC,1
Waves Decentralized Exchange,1
Bitonic,1
Paribu,1
BTCTurk,1
AidosMarket,1
BitMarket,1
CoinMate,1
BitMEX,1
BTC38,1
BTC Markets,1
Coinfloor,1
BTCBOX,1
Bithumb,1
The Rock Trading,1
BtcTrade,1
USD X,1
