Pair,No_of_traded_pair
ATCC/BTC,1
STR/BTC,1
LINK/BTC,1
MSD/BTC,1
ELIX/BTC,1
VOISE/BTC,1
SAFEX/BTC,1
NLG/BTC,1
TKN/BTC,1
TCC/BTC,1
