Pair,Price
HSR/BTC,4685.57
PPC/BTC,4641.02
BTC/BRL,4540.335
RDD/BTC,4509.79
TIME/BTC,4506.85
ELIX/BTC,4495.04
DOGE/BTC,4493.05666667
SPR/BTC,4477.51
XEM/BTC,4465.615
BTC/ZAR,4458.58
STR/BTC,4448.75
CFI/BTC,4433.74
XLM/BTC,4432.86
BTC/RUR,4432.79
BTC/CAD,4427.6725
DNT/BTC,4405.35
BTC/GBP,4399.07
BTC/HKD,4390.745
STX/BTC,4385.36
VTR/BTC,4375.88
